BUS_ID,BUS_NAME,VBASEKV,REG,U_FED
429.0,CENTRA-SP020,20.0,Sudeste-Centro-Oeste,SP
430.0,ROSA8D-SP138,138.0,Sudeste-Centro-Oeste,SP
431.0,ANHANG-SP230,230.0,,
435.0,NORTE--SP345,345.0,Sudeste-Centro-Oeste,SP
436.0,NORTE2-SP088,88.0,Sudeste-Centro-Oeste,SP
437.0,NORTE1-SP088,88.0,Sudeste-Centro-Oeste,SP
438.0,M.REAL-SP345,345.0,Sudeste-Centro-Oeste,SP
439.0,ANHANG-SP345,345.0,Sudeste-Centro-Oeste,SP
440.0,M.REAA-SP020,20.0,Sudeste-Centro-Oeste,SP
441.0,MREALE-SP088,88.0,Sudeste-Centro-Oeste,SP
442.0,NORDES-SP345,345.0,Sudeste-Centro-Oeste,SP
443.0,NORDES-SP088,88.0,Sudeste-Centro-Oeste,SP
444.0,ANHANG-SP088,88.0,Sudeste-Centro-Oeste,SP
445.0,ITAPET-SP088,88.0,Sudeste-Centro-Oeste,SP
446.0,MOG-EP-SP230,230.0,Sudeste-Centro-Oeste,SP
447.0,MOG-EP-SP088,88.0,Sudeste-Centro-Oeste,SP
448.0,ITAPET-SP230,230.0,Sudeste-Centro-Oeste,SP
449.0,ITAPET-SP345,345.0,Sudeste-Centro-Oeste,SP
451.0,AVI-1Y-SP230,230.0,Sudeste-Centro-Oeste,SP
452.0,AGUAZU-SP138,138.0,Sudeste-Centro-Oeste,SP
453.0,AGUAZU-SP440,440.0,Sudeste-Centro-Oeste,SP
454.0,S.JOSE-SP230,230.0,Sudeste-Centro-Oeste,SP
455.0,S.JOSE-SP088,88.0,Sudeste-Centro-Oeste,SP
458.0,APAREC-SP230,230.0,Sudeste-Centro-Oeste,SP
459.0,APAREC-SP088,88.0,Sudeste-Centro-Oeste,SP
460.0,RVERME-SP138,138.0,Sudeste-Centro-Oeste,SP
461.0,S.CABE-SP230,230.0,Sudeste-Centro-Oeste,SP
462.0,S.CAB1-SP088,88.0,Sudeste-Centro-Oeste,SP
464.0,LESTE--SP345,345.0,Sudeste-Centro-Oeste,SP
465.0,LESTE--SP088,88.0,Sudeste-Centro-Oeste,SP
466.0,RAMON--SP345,345.0,Sudeste-Centro-Oeste,SP
467.0,RAMORF-SP088,88.0,Sudeste-Centro-Oeste,SP
471.0,BAIXAD-SP345,345.0,Sudeste-Centro-Oeste,SP
472.0,BAIXAD-SP230,230.0,Sudeste-Centro-Oeste,SP
473.0,BAIXAD-SP088,88.0,Sudeste-Centro-Oeste,SP
474.0,SUL----SP345,345.0,Sudeste-Centro-Oeste,SP
475.0,SUL-1--SP088,88.0,Sudeste-Centro-Oeste,SP
476.0,SUL-2--SP088,88.0,Sudeste-Centro-Oeste,SP
477.0,CARBOC-SP230,230.0,Sudeste-Centro-Oeste,SP
478.0,BAGUAC-SP440,440.0,Sudeste-Centro-Oeste,SP
479.0,BAGUAC-SP138,138.0,Sudeste-Centro-Oeste,SP
480.0,H.BORD-SP230,230.0,Sudeste-Centro-Oeste,SP
481.0,HBONOR-SP088,88.0,Sudeste-Centro-Oeste,SP
482.0,HBOSUL-SP088,88.0,Sudeste-Centro-Oeste,SP
483.0,PE-RBO-SP088,88.0,Sudeste-Centro-Oeste,SP
484.0,PIRATI-SP230,230.0,Sudeste-Centro-Oeste,SP
485.0,PIRATI-SP088,88.0,Sudeste-Centro-Oeste,SP
486.0,PIRA2--SP088,88.0,Sudeste-Centro-Oeste,SP
487.0,PIRAT2-SP345,345.0,Sudeste-Centro-Oeste,SP
488.0,INTERL-SP345,345.0,Sudeste-Centro-Oeste,SP
489.0,INTERL-SP230,230.0,Sudeste-Centro-Oeste,SP
